antibody,source,reactivity,WT RBD ELISA,BA.5 RBD ELISA,XBB.1.5 RBD ELISA,JN.1 RBD ELISA,VH gene,DH gene,JH gene,H isotype,VL gene,JL gene,VH SHM (nt),VL SHM (nt),VH SHM ratio,VL SHM ratio,D614G,BA.1,BA.2,BA.5,XBB.1.5,HK.3.1,BA.2.86,JN.1,JN.1+F456L,KP.2,JN.1+F456L+A475V,KP.3,KP.3+A475V,epitope group
BD57-4607,BA.5 BTI + HK.3 infection,cross,4.32,0.55,0.23,N.D.,IGHV4-59,IGHD4-17,IGHJ4,IGHA1,IGKV1-5,IGKJ1,16.0,13.0,0.0443,0.0408,0.5237,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,N.D.
BD57-4608,BA.5 BTI + HK.3 infection,none,0.052,0.07,0.25,N.D.,IGHV5-51,IGHD2-8,IGHJ6,IGHG3,IGKV2-30,IGKJ4,38.0,21.0,0.1,0.0623,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,N.D.,N.D.
BD57-4609,BA.5 BTI + HK.3 infection,cross,4.67,4.4,4.38,N.D.,IGHV3-33,IGHD1-14,IGHJ3,IGHG1,IGKV2-30,IGKJ1,19.0,9.0,0.0526,0.0267,2.0473,1.3143,2.9933,0.9936,2.6949,4.0907,inf,inf,inf,inf,inf,inf,inf,E3
BD57-4610,BA.5 BTI + HK.3 infection,specific,0.045,4.3,4.61,N.D.,IGHV2-5,IGHD3-22,IGHJ4,IGHG1,IGKV3-15,IGKJ5,13.0,7.0,0.0346,0.0215,inf,0.2097,0.06183,0.008898,0.04867,0.09302,0.06715,0.2015,2.1523,2.1956,1.7292,inf,inf,F3
BD57-4611,BA.5 BTI + HK.3 infection,specific,0.054,3.75,4.11,N.D.,IGHV5-51,IGHD4-23,IGHJ3,IGHG1,IGKV3-15,IGKJ4,21.0,20.0,0.0572,0.0621,inf,0.009741,0.001939,0.001139,0.01288,0.02076,0.003473,0.00418,0.01247,0.009394,0.01217,0.03503,0.05703,D3
BD57-4612,BA.5 BTI + HK.3 infection,specific,0.061,2.56,4.02,N.D.,IGHV2-5,IGHD3-10,IGHJ2,IGHG1,IGKV1-33,IGKJ5,8.0,10.0,0.0212,0.0311,inf,0.1147,0.1647,0.03142,0.2274,0.3241,0.9538,1.9934,inf,inf,inf,inf,inf,F3
BD57-4613,BA.5 BTI + HK.3 infection,cross,0.73,3.77,4.4,N.D.,IGHV3-33,IGHD3/OR15-3a,IGHJ6,IGHG1,IGKV3-11,IGKJ1,48.0,22.0,0.116,0.0677,0.01474,0.0007767,0.001095,0.0008014,0.003211,0.00165,0.002178,0.002096,0.002667,0.004753,0.002294,0.001793,0.00164,D3
BD57-4614,BA.5 BTI + HK.3 infection,specific,0.98,4.51,4.25,N.D.,IGHV1-69,IGHD2-15,IGHJ4,IGHG1,IGKV3-11,IGKJ4,27.0,7.0,0.0707,0.0217,inf,0.9264,0.1203,0.0005835,0.01747,0.1511,inf,inf,inf,inf,inf,inf,inf,D4
BD57-4615,BA.5 BTI + HK.3 infection,specific,0.037,4.14,4.32,N.D.,IGHV2-5,IGHD4-17,IGHJ5,IGHG1,IGKV3-11,IGKJ2,22.0,6.0,0.058,0.0188,inf,0.2013,0.03781,0.007349,0.05157,0.06525,0.02413,0.06834,0.04387,0.04487,0.03446,0.04131,0.03919,F3
BD57-4616,BA.5 BTI + HK.3 infection,cross,4.56,4.15,4.96,N.D.,IGHV3-53,IGHD1-26,IGHJ4,IGHG1,IGKV3-11,IGKJ4,16.0,2.0,0.0429,0.0062,0.02205,0.005431,0.009447,0.01083,0.01942,0.08726,0.01333,0.02712,0.02364,0.0195,inf,1.179,inf,A1
BD57-4617,BA.5 BTI + HK.3 infection,specific,0.36,4.82,4.67,N.D.,IGHV1-69,IGHD2-15,IGHJ4,IGHG1,IGKV3-11,IGKJ4,18.0,5.0,0.0486,0.0155,inf,0.007983,0.01099,0.002429,0.02521,0.03936,inf,inf,inf,inf,inf,inf,inf,D4
BD57-4618,BA.5 BTI + HK.3 infection,specific,0.052,2.64,4.41,N.D.,IGHV7-4-1,IGHD3-22,IGHJ4,IGHG1,IGKV3-11,IGKJ4,4.0,1.0,0.0109,0.0031,inf,inf,inf,0.01773,0.01481,0.02547,0.00593,0.02026,0.01559,0.0128,0.03208,0.007924,0.008051,B
BD57-4619,BA.5 BTI + HK.3 infection,none,0.046,0.054,0.063,N.D.,IGHV3-33,IGHD3-3,IGHJ5,IGHG1,IGKV6-21,IGKJ2,17.0,8.0,0.0456,0.0248,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,N.D.,N.D.
BD57-4620,BA.5 BTI + HK.3 infection,cross,4.43,4.32,4.16,N.D.,IGHV3-53,IGHD2/OR15-2a,IGHJ4,IGHG1,IGKV3-20,IGKJ1,27.0,17.0,0.0769,0.0523,0.01135,0.003325,0.005992,0.01109,0.02026,0.03411,0.01196,0.1158,inf,inf,inf,inf,inf,A1
BD57-4621,BA.5 BTI + HK.3 infection,cross,4.27,4.29,4.3,N.D.,IGHV3-53,IGHD4-17,IGHJ4,IGHG1,IGKV3-20,IGKJ1,26.0,14.0,0.0739,0.0431,0.01466,0.001914,0.002886,0.01021,0.004548,0.01152,0.001774,0.005574,0.2157,0.1081,inf,inf,inf,A1
BD57-4622,BA.5 BTI + HK.3 infection,cross,4.09,4.65,4.57,N.D.,IGHV3-53,IGHD6-19,IGHJ4,IGHA2,IGKV3-20,IGKJ2,21.0,18.0,0.0592,0.0549,0.03525,0.005273,0.0126,0.01161,0.01176,0.007658,0.004815,0.002648,0.008919,0.01315,0.02199,0.00168,0.009323,A1
BD57-4623,BA.5 BTI + HK.3 infection,cross,4.45,4.21,4.36,N.D.,IGHV5-10-1,IGHD3-9,IGHJ4,IGHG1,IGKV3-20,IGKJ4,18.0,9.0,0.0464,0.0277,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,E3
BD57-4624,BA.5 BTI + HK.3 infection,cross,4.25,4.22,4.47,N.D.,IGHV1-58,IGHD2-8,IGHJ3,IGHG1,IGKV3-20,IGKJ1,28.0,11.0,0.0757,0.0338,0.005152,0.001118,0.001941,0.002756,0.003953,0.002133,0.003933,1.1156,inf,inf,inf,inf,inf,B
BD57-4625,BA.5 BTI + HK.3 infection,specific,1.23,0.51,2.17,N.D.,IGHV3-9,IGHD3-9,IGHJ6,IGHA1,IGKV3-20,IGKJ5,12.0,8.0,0.0325,0.0246,inf,inf,inf,inf,inf,inf,inf,0.0955,inf,inf,inf,inf,inf,B
BD57-4626,BA.5 BTI + HK.3 infection,specific,0.065,4.64,4.25,N.D.,IGHV2-5,IGHD1-1,IGHJ4,IGHG1,IGKV3-20,IGKJ1,10.0,11.0,0.0268,0.0335,inf,inf,0.004318,0.003246,0.005554,0.01935,0.006904,0.02259,0.1907,0.1041,0.07616,0.5282,0.2761,F3
BD57-4627,BA.5 BTI + HK.3 infection,specific,0.046,4.08,4.57,N.D.,IGHV3-15,IGHD1-26,IGHJ3,IGHG1,IGKV3-20,IGKJ2,23.0,11.0,0.0648,0.0338,inf,inf,0.01826,0.01713,0.08168,0.0681,0.07274,0.219,0.08817,0.1616,0.1378,0.214,0.1749,F3
BD57-4628,BA.5 BTI + HK.3 infection,specific,0.15,3.94,4.34,N.D.,IGHV3-9,IGHD6-19,IGHJ4,IGHG1,IGKV3-20,IGKJ1,5.0,2.0,0.013,0.0062,inf,inf,0.01566,0.001893,0.003392,0.003702,0.003859,0.003587,0.001451,0.003719,0.001326,0.002238,0.00245,F3
BD57-4629,BA.5 BTI + HK.3 infection,cross,4.36,4.6,4.51,N.D.,IGHV5-51,IGHD3-22,IGHJ3,IGHG1,IGKV3-20,IGKJ1,14.0,8.0,0.0399,0.0248,0.006179,3.23e-06,0.001017,0.0008452,0.003092,0.003361,0.004483,0.002311,0.002455,0.001397,0.002196,0.002487,0.002291,D3
BD57-4630,BA.5 BTI + HK.3 infection,cross,2.66,3.06,4.76,N.D.,IGHV2-70,IGHD3-9,IGHJ4,IGHG1,IGKV3-20,IGKJ1,17.0,10.0,0.0444,0.0305,0.02935,0.001668,0.004576,0.0004621,0.0002353,0.001542,inf,inf,inf,inf,inf,inf,inf,D3
BD57-4631,BA.5 BTI + HK.3 infection,specific,0.56,4.5,4.49,N.D.,IGHV4-59,IGHD3-16,IGHJ4,IGHG1,IGKV3-20,IGKJ3,16.0,8.0,0.0455,0.0246,inf,5.0651,6.1722,0.01344,0.02813,0.05333,0.06219,inf,inf,inf,inf,inf,inf,A1
BD57-4632,BA.5 BTI + HK.3 infection,cross,2.7,2.67,2.37,N.D.,IGHV3-43,IGHD3-16,IGHJ4,IGHG1,IGKV3-20,IGKJ2,15.0,15.0,0.0405,0.0462,1.3001,0.04384,0.04656,0.04186,0.04674,0.03667,0.02354,0.04295,0.08898,0.07421,0.1258,0.04435,0.02899,A1
BD57-4633,BA.5 BTI + HK.3 infection,cross,4.42,4.22,4.43,N.D.,IGHV1-69,IGHD3-10,IGHJ6,IGHG1,IGKV3-20,IGKJ4,29.0,11.0,0.0799,0.034,0.005614,0.001339,0.005062,0.0008255,0.003856,0.005559,0.002907,0.007499,0.004612,0.002765,0.003979,0.00291,0.002794,D3
BD57-4634,BA.5 BTI + HK.3 infection,specific,0.042,4.31,4.38,N.D.,IGHV2-5,IGHD3-3,IGHJ4,IGHG1,IGKV3-15,IGKJ4,5.0,5.0,0.0133,0.0154,inf,0.1088,0.0101,0.004925,0.007931,0.01354,0.01047,0.1308,0.4394,0.5236,0.8196,inf,inf,F3
BD57-4635,BA.5 BTI + HK.3 infection,specific,0.098,4.44,4.47,N.D.,IGHV2-5,IGHD3-22,IGHJ4,IGHG1,IGKV3-15,IGKJ5,8.0,11.0,0.0216,0.0338,inf,0.1751,0.07314,0.03542,0.1095,0.07641,0.06913,0.2152,0.2027,0.162,0.1717,0.09951,0.1694,F3
BD57-4636,BA.5 BTI + HK.3 infection,specific,0.051,4.4,4.54,N.D.,IGHV1-18,IGHD2-2,IGHJ3,IGHG1,IGKV3-15,IGKJ1,16.0,10.0,0.0443,0.0308,inf,0.1038,0.005945,0.002638,0.006832,0.005089,0.004833,0.009808,0.01368,0.01123,0.01386,0.01498,0.01733,F3
BD57-4637,BA.5 BTI + HK.3 infection,specific,0.073,3.8,4.11,N.D.,IGHV2-5,IGHD3-22,IGHJ5,IGHG1,IGKV3-15,IGKJ4,18.0,2.0,0.0471,0.0062,inf,0.1452,0.07944,0.01816,0.0295,0.03219,0.4387,inf,inf,inf,inf,inf,inf,F3
BD57-4638,BA.5 BTI + HK.3 infection,specific,0.064,0.7,1.3,N.D.,IGHV2-5,IGHD1-20,IGHJ5,IGHG1,IGKV3-15,IGKJ5,5.0,8.0,0.0135,0.0251,inf,inf,inf,0.2207,inf,inf,inf,inf,inf,inf,inf,inf,inf,F3
BD57-4639,BA.5 BTI + HK.3 infection,none,N.D.,N.D.,N.D.,N.D.,IGHV4-34,IGHD2-2,IGHJ3,IGHA1,IGKV3-15,IGKJ2,17.0,12.0,0.0456,0.0369,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,N.D.,N.D.
BD57-4640,BA.5 BTI + HK.3 infection,specific,0.042,3.73,4.45,N.D.,IGHV2-5,IGHD1-14,IGHJ5,IGHG1,IGKV3-15,IGKJ5,13.0,7.0,0.0349,0.0215,inf,0.1674,0.04784,0.01093,0.02955,0.1243,inf,inf,inf,inf,inf,inf,inf,F3
BD57-4641,BA.5 BTI + HK.3 infection,cross,4.51,4.39,1.51,N.D.,IGHV1-3,IGHD1-26,IGHJ5,IGHG1,IGKV3-15,IGKJ4,32.0,6.0,0.0886,0.0185,0.01212,0.03165,0.02823,0.005153,inf,inf,2.7857,inf,inf,inf,inf,inf,inf,D2
BD57-4642,BA.5 BTI + HK.3 infection,specific,0.069,3.76,4.76,N.D.,IGHV2-5,IGHD4-17,IGHJ3,IGHG1,IGKV3-15,IGKJ1,5.0,3.0,0.0133,0.0093,inf,inf,0.1353,0.009421,0.04274,0.03105,inf,inf,inf,inf,inf,inf,inf,F3
BD57-4643,BA.5 BTI + HK.3 infection,specific,0.11,3.69,3.57,N.D.,IGHV3-30,IGHD1-26,IGHJ3,IGHG1,IGKV3-15,IGKJ1,15.0,4.0,0.0419,0.0123,inf,0.2732,0.01174,0.00767,0.03445,0.02455,0.006654,0.1666,inf,inf,inf,inf,inf,F3
BD57-4644,BA.5 BTI + HK.3 infection,specific,0.053,4.12,4.38,N.D.,IGHV2-5,IGHD1-1,IGHJ4,IGHG1,IGKV3-15,IGKJ1,3.0,3.0,0.008,0.0092,inf,inf,0.2619,0.03357,0.1097,0.1923,0.1736,inf,inf,inf,inf,inf,inf,F3
BD57-4645,BA.5 BTI + HK.3 infection,specific,0.17,0.28,2.23,N.D.,IGHV2-5,IGHD6-19,IGHJ5,IGHG1,IGKV3-15,IGKJ1,2.0,0.0,0.0053,0.0,inf,inf,inf,inf,0.2545,0.1478,1.7502,inf,inf,inf,inf,inf,inf,F3
BD57-4646,BA.5 BTI + HK.3 infection,specific,0.16,1.37,3.82,N.D.,IGHV2-5,IGHD3-10,IGHJ4,IGHG1,IGKV3-15,IGKJ5,3.0,0.0,0.0081,0.0,inf,inf,inf,0.04607,0.04278,0.08647,0.696,inf,inf,inf,inf,inf,inf,F3
BD57-4647,BA.5 BTI + HK.3 infection,specific,0.062,1.05,2.98,N.D.,IGHV2-5,IGHD3-10,IGHJ4,IGHG1,IGKV3-15,IGKJ5,13.0,0.0,0.0343,0.0,inf,inf,inf,0.01259,0.01307,0.05282,2.3412,inf,inf,inf,inf,inf,inf,F3
BD57-4648,BA.5 BTI + HK.3 infection,specific,0.072,0.092,0.96,N.D.,IGHV2-5,IGHD3-10,IGHJ4,IGHG1,IGKV3-15,IGKJ3,6.0,1.0,0.016,0.0031,inf,inf,inf,inf,2.1048,0.2147,inf,inf,inf,inf,inf,inf,inf,F3
BD57-4649,BA.5 BTI + HK.3 infection,specific,0.053,0.076,2.24,N.D.,IGHV2-5,IGHD6-19,IGHJ4,IGHG1,IGKV3-15,IGKJ1,4.0,1.0,0.0106,0.0031,inf,inf,inf,inf,0.4763,0.34,inf,inf,inf,inf,inf,inf,inf,F3
BD57-4650,BA.5 BTI + HK.3 infection,specific,0.071,3.84,4.05,N.D.,IGHV4-39,IGHD6-13,IGHJ5,IGHG1,IGKV3-15,IGKJ1,11.0,5.0,0.0286,0.0155,inf,inf,0.004304,0.0005412,0.002944,0.005204,0.00312,0.007476,0.01129,0.00596,0.005069,0.00407,0.00409,F3
BD57-4651,BA.5 BTI + HK.3 infection,specific,0.96,4.7,4.66,N.D.,IGHV3-30,IGHD1-26,IGHJ3,IGHG1,IGKV3-15,IGKJ2,19.0,6.0,0.0531,0.0185,inf,4.0138,0.007884,0.002333,0.01983,0.01609,0.005298,0.01736,0.1176,0.06398,0.1104,9.2023,inf,F3
BD57-4652,BA.5 BTI + HK.3 infection,specific,0.066,3.7,3.79,N.D.,IGHV1-18,IGHD6-13,IGHJ3,IGHG1,IGKV3-15,IGKJ1,16.0,15.0,0.0443,0.0464,inf,0.6811,0.01006,0.00173,0.01639,0.01565,0.005097,0.006899,0.01511,0.008054,0.01966,0.004681,0.0209,F3
BD57-4653,BA.5 BTI + HK.3 infection,specific,0.13,0.21,0.85,N.D.,IGHV2-5,IGHD5-12,IGHJ2,IGHG3,IGKV3-15,IGKJ4,2.0,6.0,0.0053,0.0186,inf,inf,inf,inf,0.938,0.2649,inf,inf,inf,inf,inf,inf,inf,F3
BD57-4654,BA.5 BTI + HK.3 infection,specific,0.13,4.12,4.42,N.D.,IGHV2-5,IGHD6-19,IGHJ6,IGHG1,IGKV3-15,IGKJ1,10.0,7.0,0.0265,0.0217,inf,inf,0.1339,0.03177,0.1758,0.1604,1.2303,inf,1.4581,inf,1.2882,inf,inf,F3
BD57-4655,BA.5 BTI + HK.3 infection,specific,0.059,4.38,4.75,N.D.,IGHV2-5,IGHD4-17,IGHJ4,IGHG1,IGKV3-15,IGKJ1,11.0,7.0,0.03,0.0215,inf,0.2414,0.04455,0.01059,0.1163,0.2292,0.08364,inf,inf,inf,inf,inf,inf,F3
BD57-4656,BA.5 BTI + HK.3 infection,specific,0.069,4.41,4.42,N.D.,IGHV2-5,IGHD1-26,IGHJ4,IGHG1,IGKV3-15,IGKJ1,8.0,7.0,0.0213,0.0217,inf,0.03199,0.003707,0.001702,0.005361,0.004148,0.002713,0.09795,inf,inf,inf,1.6364,0.7948,F3
BD57-4657,BA.5 BTI + HK.3 infection,specific,0.18,2.44,2.59,N.D.,IGHV3-30,IGHD3-22,IGHJ4,IGHG1,IGKV5-2,IGKJ2,10.0,1.0,0.0268,0.0031,inf,inf,0.01131,0.004596,0.0185,0.01034,0.004906,0.0132,0.006382,0.003388,0.006677,0.003606,0.00241,F3
BD57-4658,BA.5 BTI + HK.3 infection,cross,4.21,4.23,4.25,N.D.,IGHV1-58,IGHD2-2,IGHJ3,IGHG1,IGKV3-20,IGKJ1,43.0,20.0,0.116,0.0621,0.00769,0.001763,0.003836,0.0003116,0.007341,0.006953,0.005021,0.006431,0.01454,0.009828,0.02568,0.02152,0.01376,B
BD57-4659,BA.5 BTI + HK.3 infection,cross,4.69,4.56,4.78,N.D.,IGHV3-53,IGHD6-19,IGHJ4,IGHG1,IGKV3-20,IGKJ2,30.0,24.0,0.0845,0.0732,0.02522,0.002879,0.01272,0.01507,0.01326,0.00995,0.003403,0.004107,0.007549,0.004074,0.06003,0.01555,0.04976,A1
BD57-4660,BA.5 BTI + HK.3 infection,cross,3.4,2.59,2.27,N.D.,IGHV3-30,IGHD4-11,IGHJ6,IGHG1,IGKV1-33,IGKJ4,28.0,18.0,0.0771,0.0562,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,E2.2
BD57-4661,BA.5 BTI + HK.3 infection,specific,0.099,4.51,4.43,N.D.,IGHV2-5,IGHD3-22,IGHJ5,IGHG1,IGKV1-9,IGKJ3,16.0,8.0,0.0432,0.0249,inf,0.8262,0.008891,0.00124,0.01647,0.01151,0.01257,0.02304,0.06518,0.04994,0.03406,0.4728,0.4107,F3
BD57-4662,BA.5 BTI + HK.3 infection,cross,4.27,4.79,4.65,N.D.,IGHV7-4-1,IGHD3-3,IGHJ6,IGHG1,IGLV2-14,IGLJ3,22.0,13.0,0.056,0.0394,3.018,3.1705,3.9122,1.8789,4.2756,5.2158,1.046,2.5368,4.5391,3.4938,2.8236,1.6504,7.1876,E2.2
BD57-4663,BA.5 BTI + HK.3 infection,specific,0.084,3.96,4.31,N.D.,IGHV2-5,IGHD2-21,IGHJ2,IGHG1,IGKV3-15,IGKJ1,21.0,13.0,0.0553,0.0406,inf,0.01895,0.004943,0.002633,0.02968,0.03002,0.006936,0.03467,0.0597,0.06289,0.05406,0.1542,0.204,F3
BD57-4664,BA.5 BTI + HK.3 infection,specific,0.1,4.4,4.54,N.D.,IGHV3-23,IGHD2-8,IGHJ4,IGHA1,IGLV6-57,IGLJ3,7.0,5.0,0.0195,0.015,inf,inf,0.508,0.1456,0.2004,0.16,0.1007,0.06648,0.1442,0.1449,0.1345,0.1066,0.0851,F1.2
BD57-4665,BA.5 BTI + HK.3 infection,cross,3.96,3.85,3.92,N.D.,IGHV5-51,IGHD6-19,IGHJ4,IGHG1,IGLV6-57,IGLJ3,9.0,2.0,0.0239,0.0061,inf,inf,inf,0.5898,0.8014,0.7629,0.1803,0.1797,0.33,0.3445,0.356,0.2242,0.2504,F1.2
BD57-4666,BA.5 BTI + HK.3 infection,cross,0.095,0.079,0.089,N.D.,IGHV4-34,IGHD3-10,IGHJ3,IGHG1,IGLV6-57,IGLJ2,9.0,5.0,0.0251,0.015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,N.D.,N.D.
BD57-4667,BA.5 BTI + HK.3 infection,specific,0.83,4.33,4.14,N.D.,IGHV3-74,IGHD3-10,IGHJ4,IGHG1,IGLV6-57,IGLJ3,19.0,16.0,0.0518,0.0483,inf,inf,1.6789,0.2723,0.41,0.724,0.2245,0.1445,0.1792,0.1459,0.2729,0.172,0.1429,F1.2
BD57-4668,BA.5 BTI + HK.3 infection,cross,4.11,4.24,4.59,N.D.,IGHV3-30,IGHD3-16,IGHJ5,IGHG1,IGLV6-57,IGLJ3,15.0,3.0,0.0416,0.0094,inf,1.4839,3.1971,0.4623,0.787,1.3784,0.3136,0.2092,0.5433,0.4208,0.5986,0.3094,0.3175,F1.2
BD57-4669,BA.5 BTI + HK.3 infection,none,0.046,0.099,0.099,N.D.,IGHV3-21,IGHD4-17,IGHJ4,IGHG1,IGLV3-21,IGLJ3,25.0,12.0,0.0681,0.0377,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,N.D.,N.D.
BD57-4670,BA.5 BTI + HK.3 infection,specific,0.058,1.96,2.16,N.D.,IGHV2-5,IGHD3-10,IGHJ4,IGHG1,IGKV3-15,IGKJ1,5.0,1.0,0.0133,0.0031,inf,inf,inf,0.1631,0.163,0.2074,inf,inf,inf,inf,inf,inf,inf,F3
BD57-4671,BA.5 BTI + HK.3 infection,none,0.072,0.12,0.16,N.D.,IGHV2-5,IGHD3-10,IGHJ4,IGHG1,IGKV3-11,IGKJ4,16.0,8.0,0.0397,0.0247,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,N.D.,N.D.
BD57-4672,BA.5 BTI + HK.3 infection,specific,0.14,3.22,3.12,N.D.,IGHV2-5,IGHD5-24,IGHJ4,IGHG1,IGKV3-11,IGKJ4,21.0,4.0,0.0568,0.0125,inf,0.3402,0.07469,0.0203,0.126,0.1172,0.04922,0.4908,0.1562,0.1617,0.1633,0.09109,0.04109,F3
BD57-4673,BA.5 BTI + HK.3 infection,specific,0.065,4.73,4.35,N.D.,IGHV2-5,IGHD3-3,IGHJ5,IGHG1,IGKV3-11,IGKJ3,17.0,8.0,0.0438,0.0249,inf,0.01216,0.00801,0.0007737,0.01075,0.01265,0.004445,0.003104,0.01314,0.008778,0.01023,0.004031,0.002073,F3
BD57-4674,BA.5 BTI + HK.3 infection,specific,0.079,4.35,4.33,N.D.,IGHV2-5,IGHD4-17,IGHJ4,IGHG1,IGKV3-11,IGKJ5,12.0,2.0,0.0314,0.0062,inf,0.00855,0.009015,0.0007109,0.004801,0.003207,0.009494,0.01418,0.01601,0.01019,0.01382,0.08883,0.007161,F3
BD57-4675,BA.5 BTI + HK.3 infection,specific,0.07,4.61,4.37,N.D.,IGHV2-5,IGHD2-15,IGHJ5,IGHG1,IGKV3-11,IGKJ4,12.0,4.0,0.0305,0.0125,inf,0.02796,0.01946,0.01086,0.06209,0.5018,1.5246,inf,inf,inf,inf,inf,inf,F3
BD57-4676,BA.5 BTI + HK.3 infection,specific,0.34,3.32,3.5,N.D.,IGHV2-5,IGHD1-26,IGHJ5,IGHG1,IGKV3-11,IGKJ1,5.0,2.0,0.0134,0.0062,inf,0.35,0.1089,0.004886,0.006591,0.07948,0.07441,1.9928,1.9734,1.8663,1.9314,0.07045,0.0615,F3
BD57-4677,BA.5 BTI + HK.3 infection,cross,0.96,0.64,1.55,N.D.,IGHV3-23,IGHD3-22,IGHJ4,IGHA1,IGKV3-20,IGKJ2,17.0,12.0,0.0452,0.0367,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,E3
BD57-4678,BA.5 BTI + HK.3 infection,specific,0.097,3.21,4.01,N.D.,IGHV2-5,IGHD1-20,IGHJ5,IGHG1,IGKV3-15,IGKJ1,5.0,6.0,0.0134,0.0188,inf,inf,inf,0.03466,0.02813,0.02161,0.06757,0.07224,1.687,1.7581,1.5116,0.1696,0.1826,F3
BD57-4679,BA.5 BTI + HK.3 infection,specific,0.072,0.21,4.03,N.D.,IGHV2-5,IGHD4-17,IGHJ2,IGHG1,IGKV3-15,IGKJ1,3.0,6.0,0.0079,0.0187,inf,inf,inf,0.9532,0.02982,0.02204,inf,inf,inf,inf,inf,inf,inf,F3
BD57-4680,BA.5 BTI + HK.3 infection,specific,0.14,2.53,4.54,N.D.,IGHV2-5,IGHD3-3,IGHJ5,IGHG1,IGKV3-15,IGKJ5,6.0,3.0,0.0161,0.0093,inf,inf,inf,0.05162,0.07616,0.09884,inf,inf,inf,inf,inf,inf,inf,F3
BD57-4681,BA.5 BTI + HK.3 infection,specific,0.14,4.28,4.41,N.D.,IGHV2-5,IGHD3-3,IGHJ4,IGHG1,IGKV3-15,IGKJ2,10.0,5.0,0.026,0.0157,inf,0.1303,0.0181,0.006748,0.0158,0.0222,0.01115,0.009335,0.045,0.04537,0.05072,0.02077,0.02194,F3
BD57-4682,BA.5 BTI + HK.3 infection,specific,0.13,0.57,2.47,N.D.,IGHV2-5,IGHD1-1,IGHJ5,IGHG1,IGKV3-15,IGKJ5,19.0,4.0,0.0505,0.0123,inf,0.1736,0.0489,0.009936,0.04857,0.08745,3.7334,inf,inf,inf,inf,inf,inf,F3
BD57-4683,BA.5 BTI + HK.3 infection,specific,0.1,0.19,2.88,N.D.,IGHV2-5,IGHD6-13,IGHJ5,IGHG1,IGKV3-15,IGKJ3,8.0,5.0,0.0211,0.0156,inf,inf,inf,inf,0.4812,0.0404,inf,inf,inf,inf,inf,inf,inf,F3
BD57-4684,BA.5 BTI + HK.3 infection,specific,0.13,0.21,4.12,N.D.,IGHV2-5,IGHD3-16,IGHJ5,IGHG1,IGKV3-15,IGKJ4,7.0,2.0,0.0188,0.0062,inf,inf,inf,inf,0.04423,0.03707,inf,inf,inf,inf,inf,inf,inf,F3
BD57-4685,BA.5 BTI + HK.3 infection,specific,0.13,4.05,4.38,N.D.,IGHV2-5,IGHD3-22,IGHJ4,IGHG1,IGKV3D-15,IGKJ4,8.0,7.0,0.0213,0.0218,inf,0.07579,0.04529,0.003657,0.02215,0.0289,0.01757,0.0244,0.04496,0.03357,0.04076,0.002882,0.002357,F3
BD57-4686,BA.5 BTI + HK.3 infection,specific,0.27,4.41,4.29,N.D.,IGHV3-30-3,IGHD1-26,IGHJ4,IGHG1,IGLV4-69,IGLJ3,25.0,20.0,0.0698,0.0601,inf,0.009354,0.004308,0.0006574,0.002853,0.002588,0.001408,0.0006208,0.002908,0.00339,0.001694,0.0008515,0.0009664,F3
BD57-4687,BA.5 BTI + HK.3 infection,none,0.21,0.23,0.48,N.D.,IGHV3-30,IGHD2-21,IGHJ3,IGHA1,IGLV4-69,IGLJ2,11.0,7.0,0.0297,0.021,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,N.D.,N.D.
BD57-4688,BA.5 BTI + HK.3 infection,specific,0.43,1.4,2.86,N.D.,IGHV3-13,IGHD2-15,IGHJ6,IGHG1,IGLV9-49,IGLJ1,17.0,12.0,0.045,0.0344,inf,0.06024,0.08377,0.01389,0.1225,0.08676,0.04554,0.1198,0.1136,0.2279,0.1051,0.04432,0.03619,B
BD57-4689,BA.5 BTI + HK.3 infection,specific,1.41,1.58,2.73,N.D.,IGHV3-13,IGHD2-15,IGHJ3,IGHG1,IGLV9-49,IGLJ3,19.0,5.0,0.0549,0.0144,inf,0.09387,0.2003,0.08663,0.3503,0.3146,0.08404,0.4517,0.4026,0.552,0.4817,0.1479,0.1612,B
BD57-4690,BA.5 BTI + HK.3 infection,specific,0.52,2.25,2.63,N.D.,IGHV3-13,IGHD3-10,IGHJ4,IGHG1,IGLV9-49,IGLJ1,27.0,12.0,0.0785,0.0346,inf,inf,inf,0.03743,0.5093,0.5391,0.1366,0.8445,0.3628,0.3102,inf,0.1777,0.5,B
